[2026-01-26T18:30:01Z] Starting generate_activity.sh
[2026-01-26T18:30:01Z] scenario=burst_api_calls duration=120s rate=180/min regions=us-east-1,us-west-2 bucket=anomai-cloudtrail-logs-dev
[2026-01-26T18:30:01Z] log_file=./logs/activity_20260126_183001_burst_api_calls.log
[2026-01-26T18:30:01Z] Checking AWS credentials...
[2026-01-26T18:30:02Z] Scenario: burst_api_calls (rate spike via Describe* loops)
[2026-01-26T18:30:02Z] tick: burst_api_calls
[2026-01-26T18:30:05Z] tick: burst_api_calls
[2026-01-26T18:30:09Z] tick: burst_api_calls
[2026-01-26T18:30:12Z] tick: burst_api_calls
[2026-01-26T18:30:15Z] tick: burst_api_calls
[2026-01-26T18:30:19Z] tick: burst_api_calls
[2026-01-26T18:30:22Z] tick: burst_api_calls
[2026-01-26T18:30:25Z] tick: burst_api_calls
[2026-01-26T18:30:29Z] tick: burst_api_calls
[2026-01-26T18:30:32Z] tick: burst_api_calls
[2026-01-26T18:30:35Z] tick: burst_api_calls
[2026-01-26T18:30:39Z] tick: burst_api_calls
[2026-01-26T18:30:42Z] tick: burst_api_calls
[2026-01-26T18:30:45Z] tick: burst_api_calls
[2026-01-26T18:30:48Z] tick: burst_api_calls
[2026-01-26T18:30:52Z] tick: burst_api_calls
[2026-01-26T18:30:55Z] tick: burst_api_calls
[2026-01-26T18:30:58Z] tick: burst_api_calls
[2026-01-26T18:31:02Z] tick: burst_api_calls
[2026-01-26T18:31:05Z] tick: burst_api_calls
[2026-01-26T18:31:08Z] tick: burst_api_calls
[2026-01-26T18:31:12Z] tick: burst_api_calls
[2026-01-26T18:31:15Z] tick: burst_api_calls
[2026-01-26T18:31:18Z] tick: burst_api_calls
[2026-01-26T18:31:22Z] tick: burst_api_calls
[2026-01-26T18:31:25Z] tick: burst_api_calls
[2026-01-26T18:31:28Z] tick: burst_api_calls
[2026-01-26T18:31:31Z] tick: burst_api_calls
[2026-01-26T18:31:35Z] tick: burst_api_calls
[2026-01-26T18:31:38Z] tick: burst_api_calls
[2026-01-26T18:31:41Z] tick: burst_api_calls
[2026-01-26T18:31:44Z] tick: burst_api_calls
[2026-01-26T18:31:48Z] tick: burst_api_calls
[2026-01-26T18:31:51Z] tick: burst_api_calls
[2026-01-26T18:31:55Z] tick: burst_api_calls
[2026-01-26T18:31:58Z] tick: burst_api_calls
[2026-01-26T18:32:01Z] tick: burst_api_calls
