[2026-02-02T20:04:56Z] Starting generate_activity.sh
[2026-02-02T20:04:56Z] scenario=access_denied_spike duration=120s rate=90/min regions=us-east-1,us-west-2 bucket=anomai-cloudtrail-logs-dev
[2026-02-02T20:04:56Z] log_file=./logs/activity_20260202_200456_access_denied_spike.log
[2026-02-02T20:04:56Z] Checking AWS credentials...
[2026-02-02T20:04:57Z] Scenario: access_denied_spike (intentionally failing calls)
[2026-02-02T20:04:57Z] tick: access_denied_spike
[2026-02-02T20:04:59Z] tick: access_denied_spike
[2026-02-02T20:05:02Z] tick: access_denied_spike
[2026-02-02T20:05:04Z] tick: access_denied_spike
[2026-02-02T20:05:06Z] tick: access_denied_spike
[2026-02-02T20:05:08Z] tick: access_denied_spike
[2026-02-02T20:05:10Z] tick: access_denied_spike
[2026-02-02T20:05:12Z] tick: access_denied_spike
[2026-02-02T20:05:15Z] tick: access_denied_spike
[2026-02-02T20:05:17Z] tick: access_denied_spike
[2026-02-02T20:05:19Z] tick: access_denied_spike
[2026-02-02T20:05:21Z] tick: access_denied_spike
[2026-02-02T20:05:23Z] tick: access_denied_spike
[2026-02-02T20:05:25Z] tick: access_denied_spike
[2026-02-02T20:05:27Z] tick: access_denied_spike
[2026-02-02T20:05:29Z] tick: access_denied_spike
[2026-02-02T20:05:31Z] tick: access_denied_spike
[2026-02-02T20:05:34Z] tick: access_denied_spike
[2026-02-02T20:05:36Z] tick: access_denied_spike
[2026-02-02T20:05:38Z] tick: access_denied_spike
[2026-02-02T20:05:40Z] tick: access_denied_spike
[2026-02-02T20:05:42Z] tick: access_denied_spike
[2026-02-02T20:05:44Z] tick: access_denied_spike
[2026-02-02T20:05:47Z] tick: access_denied_spike
[2026-02-02T20:05:49Z] tick: access_denied_spike
[2026-02-02T20:05:51Z] tick: access_denied_spike
[2026-02-02T20:05:53Z] tick: access_denied_spike
[2026-02-02T20:05:55Z] tick: access_denied_spike
[2026-02-02T20:05:57Z] tick: access_denied_spike
[2026-02-02T20:05:59Z] tick: access_denied_spike
[2026-02-02T20:06:02Z] tick: access_denied_spike
[2026-02-02T20:06:04Z] tick: access_denied_spike
[2026-02-02T20:06:06Z] tick: access_denied_spike
[2026-02-02T20:06:08Z] tick: access_denied_spike
[2026-02-02T20:06:10Z] tick: access_denied_spike
[2026-02-02T20:06:12Z] tick: access_denied_spike
[2026-02-02T20:06:14Z] tick: access_denied_spike
[2026-02-02T20:06:16Z] tick: access_denied_spike
[2026-02-02T20:06:19Z] tick: access_denied_spike
[2026-02-02T20:06:21Z] tick: access_denied_spike
[2026-02-02T20:06:23Z] tick: access_denied_spike
[2026-02-02T20:06:25Z] tick: access_denied_spike
[2026-02-02T20:06:27Z] tick: access_denied_spike
[2026-02-02T20:06:29Z] tick: access_denied_spike
[2026-02-02T20:06:31Z] tick: access_denied_spike
[2026-02-02T20:06:33Z] tick: access_denied_spike
[2026-02-02T20:06:36Z] tick: access_denied_spike
[2026-02-02T20:06:38Z] tick: access_denied_spike
[2026-02-02T20:06:40Z] tick: access_denied_spike
[2026-02-02T20:06:42Z] tick: access_denied_spike
[2026-02-02T20:06:44Z] tick: access_denied_spike
[2026-02-02T20:06:47Z] tick: access_denied_spike
[2026-02-02T20:06:49Z] tick: access_denied_spike
[2026-02-02T20:06:51Z] tick: access_denied_spike
[2026-02-02T20:06:53Z] tick: access_denied_spike
[2026-02-02T20:06:55Z] tick: access_denied_spike
